nom,dirigeant,adresse,code_postal,commune,departement,region,naf,siret,site_web,email,telephone,source
SAS DOMUS,BRIGITTE NAUDIN,COURS ROLAND MORENO 79360 GRANZAY-GRIPT,79360,GRANZAY-GRIPT,79,Nouvelle-Aquitaine,43.39Z,40246038000049,https://entreprises.lefigaro.fr/sas-domus-79/entreprise-402460380,,0246038000,sirene
SIOS MULTI-SERVICES (SIOS MULTI-SERVICES),CHRISTOPHE LEFORT,8 AVENUE DU MOULIN BLANC 17310 SAINT-PIERRE-D'OLERON,17310,SAINT-PIERRE-D'OLERON,17,Nouvelle-Aquitaine,43.39Z,83092757000028,,,,sirene
PHILIP CLARKE (RENOVATIONS LIMOUSIN),PHILIP CLARKE,GONDANDEIX 87500 LE CHALARD,87500,LE CHALARD,87,Nouvelle-Aquitaine,43.39Z,82399946100010,,,,sirene
YVES SCHMITZ,YVES SCHMITZ,LE CHASSAIN 23190 SAINT-SILVAIN-BELLEGARDE,23190,SAINT-SILVAIN-BELLEGARDE,23,Nouvelle-Aquitaine,43.39Z,44916706300030,,,,sirene
LA PANIFICATION,DAVID BRUGEROLLES,RUE DU GALION 17650 SAINT DENIS D'OLERON,17650,SAINT DENIS D'OLERON,17,Nouvelle-Aquitaine,43.39Z,44025812700032,,,,sirene
NERAC PISCINES,GILLES PERRAUDEAU (PERRAUDEAU),A BURLE PACHET 47600 NERAC,47600,NERAC,47,Nouvelle-Aquitaine,43.39Z,48090354100047,,,,sirene
YVES CHARDON,YVES CHARDON,9 ALLEE DE BOTTEREAU 33470 LE TEICH,33470,LE TEICH,33,Nouvelle-Aquitaine,43.39Z,47896613800032,,,,sirene
FACAD ET PROS,LIONEL FIOL (FIOL),LANAUZE 47110 DOLMAYRAC,47110,DOLMAYRAC,47,Nouvelle-Aquitaine,43.39Z,45362981800015,,,,sirene
MANUEL FERNANDES,MANUEL FERNANDES,LA MAISON D'HARNAUTON 1641 ROUTE DE MAREMNE 40530 LABENNE,40530,LABENNE,40,Nouvelle-Aquitaine,43.39Z,45391826000028,,,,sirene
THIERRY ALLETRU,THIERRY ALLETRU (ALLETRU),251 RUE DU PAS DU MOULIN 40550 LEON,40550,LEON,40,Nouvelle-Aquitaine,43.39Z,53764927900016,,,,sirene
GINO CHAMBOT,GINO CHAMBOT,6 RUE DU CLOS DOMENAT 19100 BRIVE-LA-GAILLARDE,19100,BRIVE-LA-GAILLARDE,19,Nouvelle-Aquitaine,43.39Z,53784381500011,,,,sirene
LOUIS LE HENAFF,LOUIS LE HENAFF,64 RUE PIERRE LOTI 17300 ROCHEFORT,17300,ROCHEFORT,17,Nouvelle-Aquitaine,43.39Z,53344033500016,,,,sirene
JEAN MARC GERMAIN,JEAN GERMAIN,22 RUE DES PALUS 33290 PAREMPUYRE,33290,PAREMPUYRE,33,Nouvelle-Aquitaine,43.39Z,52878006700013,,,,sirene
